linetype	fill	xmin	xmax	showSelected1	showSelected2	showSelected3	showSelected4
1	#FF7D7D	40.489367	109.068985	1.7	18	false positive	1breakpoint
1	#FF7D7D	40.489367	109.068985	1.7	19	false positive	1breakpoint
1	#FF7D7D	40.489367	109.068985	1.7	20	false positive	1breakpoint
0	#F6F4BF	34.972003	103.694899	11.8	1	correct	0breakpoints
0	#F6F4BF	34.972003	103.694899	11.8	2	correct	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	3	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	4	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	5	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	6	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	7	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	8	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	9	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	10	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	11	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	12	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	13	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	14	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	15	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	16	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	17	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	18	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	19	false positive	0breakpoints
1	#F6F4BF	34.972003	103.694899	11.8	20	false positive	0breakpoints
0	#F6F4BF	20.997136	107.898044	10.9	1	correct	0breakpoints
0	#F6F4BF	20.997136	107.898044	10.9	2	correct	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	3	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	4	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	5	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	6	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	7	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	8	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	9	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	10	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	11	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	12	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	13	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	14	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	15	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	16	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	17	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	18	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	19	false positive	0breakpoints
1	#F6F4BF	20.997136	107.898044	10.9	20	false positive	0breakpoints
